date,repository,path,count,uniques
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/tree/main/python/scripts/daac_data_download_python,99,61
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources,69,32
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/blob/main/setup/setup_instructions_python.md,33,19
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/blob/main/python/scripts/daac_data_download_python/DAACDataDownload.py,20,17
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/tree/main/python,17,10
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/blob/main/guides/create_netrc_file.md,13,5
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/tree/main,12,9
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/blob/main/python/how-tos/Earthdata_Cloud__Download_file_from_S3.ipynb,11,7
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/blob/main/setup/lp_tutorials.yml,11,4
2025-05-09,nasa/LPDAAC-Data-Resources,/nasa/LPDAAC-Data-Resources/blob/main/data/.netrc,10,4
2025-05-09,nasa/VITALS,/nasa/VITALS,30,17
2025-05-09,nasa/VITALS,/nasa/VITALS/blob/main/setup/setup_instructions.md,13,4
2025-05-09,nasa/VITALS,/nasa/VITALS/tree/main/python,7,7
2025-05-09,nasa/VITALS,/nasa/VITALS/tree/main/setup,5,3
2025-05-09,nasa/VITALS,/nasa/VITALS/blob/main/python/02_Working_with_EMIT_Reflectance_and_ECOSTRESS_LST.ipynb,3,3
2025-05-09,nasa/VITALS,/nasa/VITALS/tree/main/data,3,2
2025-05-09,nasa/VITALS,/nasa/VITALS/blob/main/img/concurrent_data.png,3,1
2025-05-09,nasa/VITALS,/nasa/VITALS/tree/main/community_contributed,2,2
2025-05-09,nasa/VITALS,/nasa/VITALS/tree/main/community_contributed/NEON_EMIT,2,2
2025-05-09,nasa/VITALS,/nasa/VITALS/tree/main/python/modules,2,2
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources,96,66
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/Python/tutorials/AppEEARS_API_Area.ipynb,37,28
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/Python/tutorials/AppEEARS_API_Point.ipynb,11,6
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/guides/How-to-bulk-download-AppEEARS-outputs.md,10,8
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/tree/main,10,5
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/R/tutorials/AppEEARS_API_Point_R.Rmd,8,4
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/tree/main/Python/tutorials,7,6
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/blob/main/R/tutorials/AppEEARS_API_Area_R.Rmd,7,5
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/tree/main/Python,6,4
2025-05-23,nasa/AppEEARS-Data-Resources,/nasa/AppEEARS-Data-Resources/commits/main/Python/tutorials/AppEEARS_API_Point.ipynb,5,2
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources,59,41
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/tutorials/ECOSTRESS_Tutorial.ipynb,29,18
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python/scripts/ecostress_swath2grid,23,12
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/data,16,10
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python/scripts/extract_geolocation_flag,15,11
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/scripts/ecostress_swath2grid/ECOSTRESS_swath2grid.py,15,8
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python,11,9
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/blob/main/python/tutorials/Work_with_ECOSTRESS_L2T_LSTE_data.ipynb,11,4
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main/python/scripts,9,7
2025-05-23,nasa/ECOSTRESS-Data-Resources,/nasa/ECOSTRESS-Data-Resources/tree/main,8,6
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources,160,92
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/tree/main,89,29
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/tutorials/Exploring_EMIT_L2A_Reflectance.ipynb,88,49
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/tree/main/python,84,30
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/tutorials/Working_with_EMIT_L2B_Mineralogy.ipynb,60,28
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/tree/main/setup,49,21
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/tutorials/Visualizing_Methane_Plume_Timeseries.ipynb,44,24
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/python/how-tos/How_to_Convert_to_ENVI.ipynb,44,22
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/setup/setup_instructions.md,43,18
2025-05-23,nasa/EMIT-Data-Resources,/nasa/EMIT-Data-Resources/blob/main/guides/Getting_EMIT_Data_using_EarthData_Search.md,41,25
2025-05-23,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources,114,63
2025-05-23,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/python/tutorials/GEDI_L2A_V2_Tutorial.ipynb,75,43
2025-05-23,nasa/GEDI-Data-Resources,/nasa/GEDI-Data-Resources/blob/main/python/tutorials/GEDI_L2B_V2_Tutorial.ipynb,47,30
