date,repository,views,unique views,clones,unique clones
2025-04-25,nasa/AppEEARS-Data-Resources,8,3,0,0
2025-04-26,nasa/AppEEARS-Data-Resources,2,2,2,2
2025-04-27,nasa/AppEEARS-Data-Resources,8,4,1,1
2025-04-28,nasa/AppEEARS-Data-Resources,17,8,0,0
2025-04-29,nasa/AppEEARS-Data-Resources,28,8,1,1
2025-04-30,nasa/AppEEARS-Data-Resources,86,8,3,3
2025-05-01,nasa/AppEEARS-Data-Resources,19,11,1,1
2025-05-02,nasa/AppEEARS-Data-Resources,43,5,5,5
2025-05-03,nasa/AppEEARS-Data-Resources,17,12,3,3
2025-05-04,nasa/AppEEARS-Data-Resources,7,5,1,1
2025-05-05,nasa/AppEEARS-Data-Resources,41,14,1,1
2025-05-06,nasa/AppEEARS-Data-Resources,15,9,0,0
2025-05-07,nasa/AppEEARS-Data-Resources,31,13,0,0
2025-05-08,nasa/AppEEARS-Data-Resources,18,12,1,1
2025-05-09,nasa/AppEEARS-Data-Resources,8,6,3,3
2025-04-25,nasa/ECOSTRESS-Data-Resources,5,3,1,1
2025-04-26,nasa/ECOSTRESS-Data-Resources,10,2,6,5
2025-04-27,nasa/ECOSTRESS-Data-Resources,6,1,4,3
2025-04-28,nasa/ECOSTRESS-Data-Resources,17,9,0,0
2025-04-29,nasa/ECOSTRESS-Data-Resources,32,6,0,0
2025-04-30,nasa/ECOSTRESS-Data-Resources,18,11,0,0
2025-05-01,nasa/ECOSTRESS-Data-Resources,8,7,1,1
2025-05-02,nasa/ECOSTRESS-Data-Resources,7,3,1,1
2025-05-03,nasa/ECOSTRESS-Data-Resources,1,1,2,2
2025-05-04,nasa/ECOSTRESS-Data-Resources,2,2,2,2
2025-05-05,nasa/ECOSTRESS-Data-Resources,38,6,1,1
2025-05-06,nasa/ECOSTRESS-Data-Resources,24,7,0,0
2025-05-07,nasa/ECOSTRESS-Data-Resources,31,9,0,0
2025-05-08,nasa/ECOSTRESS-Data-Resources,8,5,1,1
2025-05-09,nasa/ECOSTRESS-Data-Resources,14,5,4,4
2025-04-25,nasa/EMIT-Data-Resources,31,10,1,1
2025-04-26,nasa/EMIT-Data-Resources,59,10,5,5
2025-04-27,nasa/EMIT-Data-Resources,23,8,4,3
2025-04-28,nasa/EMIT-Data-Resources,55,17,2,2
2025-04-29,nasa/EMIT-Data-Resources,117,29,0,0
2025-04-30,nasa/EMIT-Data-Resources,41,22,1,1
2025-05-01,nasa/EMIT-Data-Resources,75,23,1,1
2025-05-02,nasa/EMIT-Data-Resources,113,17,2,2
2025-05-03,nasa/EMIT-Data-Resources,10,6,3,3
2025-05-04,nasa/EMIT-Data-Resources,10,6,1,1
2025-05-05,nasa/EMIT-Data-Resources,40,17,2,2
2025-05-06,nasa/EMIT-Data-Resources,67,19,0,0
2025-05-07,nasa/EMIT-Data-Resources,26,13,0,0
2025-05-08,nasa/EMIT-Data-Resources,37,11,7,3
2025-05-09,nasa/EMIT-Data-Resources,25,10,4,4
2025-04-25,nasa/GEDI-Data-Resources,6,2,1,1
2025-04-26,nasa/GEDI-Data-Resources,4,3,5,5
2025-04-27,nasa/GEDI-Data-Resources,33,6,4,4
2025-04-28,nasa/GEDI-Data-Resources,55,14,0,0
2025-04-29,nasa/GEDI-Data-Resources,121,14,2,2
2025-04-30,nasa/GEDI-Data-Resources,66,20,0,0
2025-05-01,nasa/GEDI-Data-Resources,35,5,0,0
2025-05-02,nasa/GEDI-Data-Resources,66,9,2,2
2025-05-03,nasa/GEDI-Data-Resources,12,6,3,3
2025-05-04,nasa/GEDI-Data-Resources,18,4,2,2
2025-05-05,nasa/GEDI-Data-Resources,49,16,2,2
2025-05-06,nasa/GEDI-Data-Resources,33,11,0,0
2025-05-07,nasa/GEDI-Data-Resources,32,15,4,1
2025-05-08,nasa/GEDI-Data-Resources,43,12,2,2
2025-05-09,nasa/GEDI-Data-Resources,10,6,5,5
2025-04-25,nasa/HLS-Data-Resources,32,5,0,0
2025-04-26,nasa/HLS-Data-Resources,18,3,2,2
2025-04-27,nasa/HLS-Data-Resources,37,9,1,1
2025-04-28,nasa/HLS-Data-Resources,81,20,1,1
2025-04-29,nasa/HLS-Data-Resources,44,21,3,2
2025-04-30,nasa/HLS-Data-Resources,42,15,0,0
2025-05-01,nasa/HLS-Data-Resources,34,15,0,0
2025-05-02,nasa/HLS-Data-Resources,22,9,1,1
2025-05-03,nasa/HLS-Data-Resources,29,10,2,2
2025-05-04,nasa/HLS-Data-Resources,11,5,1,1
2025-05-05,nasa/HLS-Data-Resources,68,8,1,1
2025-05-06,nasa/HLS-Data-Resources,41,10,0,0
2025-05-07,nasa/HLS-Data-Resources,55,14,1,1
2025-05-08,nasa/HLS-Data-Resources,40,16,1,1
2025-05-09,nasa/HLS-Data-Resources,24,13,3,3
2025-04-25,nasa/LPDAAC-Data-Resources,6,3,1,1
2025-04-26,nasa/LPDAAC-Data-Resources,12,6,5,5
2025-04-27,nasa/LPDAAC-Data-Resources,64,13,7,6
2025-04-28,nasa/LPDAAC-Data-Resources,38,17,2,2
2025-04-29,nasa/LPDAAC-Data-Resources,33,16,2,1
2025-04-30,nasa/LPDAAC-Data-Resources,71,17,0,0
2025-05-01,nasa/LPDAAC-Data-Resources,23,8,1,1
2025-05-02,nasa/LPDAAC-Data-Resources,82,21,1,1
2025-05-03,nasa/LPDAAC-Data-Resources,3,3,3,3
2025-05-04,nasa/LPDAAC-Data-Resources,26,11,2,2
2025-05-05,nasa/LPDAAC-Data-Resources,31,14,6,5
2025-05-06,nasa/LPDAAC-Data-Resources,33,16,0,0
2025-05-07,nasa/LPDAAC-Data-Resources,22,14,1,1
2025-05-08,nasa/LPDAAC-Data-Resources,28,13,4,4
2025-05-09,nasa/LPDAAC-Data-Resources,48,12,5,4
2025-04-25,nasa/VITALS,10,3,1,1
2025-04-26,nasa/VITALS,2,1,6,6
2025-04-27,nasa/VITALS,1,1,4,3
2025-04-28,nasa/VITALS,20,5,0,0
2025-04-29,nasa/VITALS,16,4,0,0
2025-04-30,nasa/VITALS,8,3,0,0
2025-05-01,nasa/VITALS,27,5,1,1
2025-05-02,nasa/VITALS,5,2,0,0
2025-05-03,nasa/VITALS,2,1,3,3
2025-05-07,nasa/VITALS,5,3,0,0
2025-05-08,nasa/VITALS,3,2,3,3
2025-05-09,nasa/VITALS,16,5,5,4
2025-05-10,nasa/AppEEARS-Data-Resources,9,4,1,1
2025-05-11,nasa/AppEEARS-Data-Resources,11,5,3,3
2025-05-12,nasa/AppEEARS-Data-Resources,11,7,2,2
2025-05-13,nasa/AppEEARS-Data-Resources,14,10,0,0
2025-05-14,nasa/AppEEARS-Data-Resources,44,13,3,2
2025-05-15,nasa/AppEEARS-Data-Resources,28,11,3,3
2025-05-16,nasa/AppEEARS-Data-Resources,30,12,1,1
2025-05-17,nasa/AppEEARS-Data-Resources,7,4,2,2
2025-05-18,nasa/AppEEARS-Data-Resources,9,5,1,1
2025-05-19,nasa/AppEEARS-Data-Resources,31,13,2,2
2025-05-20,nasa/AppEEARS-Data-Resources,18,10,0,0
2025-05-21,nasa/AppEEARS-Data-Resources,22,11,3,2
2025-05-22,nasa/AppEEARS-Data-Resources,7,4,3,2
2025-05-23,nasa/AppEEARS-Data-Resources,18,9,0,0
2025-05-10,nasa/ECOSTRESS-Data-Resources,6,4,4,3
2025-05-11,nasa/ECOSTRESS-Data-Resources,17,6,2,2
2025-05-12,nasa/ECOSTRESS-Data-Resources,53,6,6,6
2025-05-13,nasa/ECOSTRESS-Data-Resources,28,9,1,1
2025-05-14,nasa/ECOSTRESS-Data-Resources,22,6,2,2
2025-05-15,nasa/ECOSTRESS-Data-Resources,10,9,2,2
2025-05-16,nasa/ECOSTRESS-Data-Resources,16,9,1,1
2025-05-17,nasa/ECOSTRESS-Data-Resources,28,5,2,2
2025-05-18,nasa/ECOSTRESS-Data-Resources,5,3,1,1
2025-05-19,nasa/ECOSTRESS-Data-Resources,26,7,1,1
2025-05-20,nasa/ECOSTRESS-Data-Resources,17,3,0,0
2025-05-21,nasa/ECOSTRESS-Data-Resources,12,4,2,1
2025-05-22,nasa/ECOSTRESS-Data-Resources,11,8,3,2
2025-05-23,nasa/ECOSTRESS-Data-Resources,18,6,1,1
2025-05-10,nasa/EMIT-Data-Resources,7,6,1,1
2025-05-11,nasa/EMIT-Data-Resources,29,10,2,2
2025-05-12,nasa/EMIT-Data-Resources,142,23,5,5
